model,correct,total,accuracy
../results/mistral-small3.1-24b-TUEP-20260707-055623.csv,959,2809,0.34140263438946244
../results/qwen3-vl-30b-a3b-instruct-TUEP-20260707-170058.csv,778,2809,0.2769668921324315
../results/gemma3-27b-TUEP-20260705-224556.csv,1142,2809,0.4065503737985048
../results/qwen3-vl-32b-instruct-TUEP-20260707-230551.csv,1108,2809,0.39444642221431114
../results/ministral-3-14b-TUEP-20260707-030546.csv,1246,2809,0.4435742257030972
../results/minicpm-v4.6-1b-TUEP-20260707-020558.csv,1705,2809,0.6069775720897116
../results/minicpm-v-8b-TUEP-20260707-003233.csv,2244,2809,0.7988608045567818
../results/minicpm-v4.5-8b-TUEP-20260707-012811.csv,2092,2809,0.7447490210039159
../results/glm-ocr-latest-TUEP-20260706-062107.csv,2244,2809,0.7988608045567818
../results/llava-v1.6-TUEP-20260706-212510.csv,564,2809,0.20078319686721252
../results/gemma3-4b-TUEP-20260705-204037.csv,2244,2809,0.7988608045567818
../results/qwen3-vl-4b-instruct-TUEP-20260707-103831.csv,648,2809,0.230687077251691
../results/deepseek-ocr-3b-TUEP-20260705-200755.csv,2190,2809,0.7796368814524742
../results/medgemma-4b-TUEP-20260706-231830.csv,602,2809,0.21431114275542898
../results/granite3.2-vision-2b-TUEP-20260706-075346.csv,704,2809,0.25062299750801
../results/medgemma1.5-4b-TUEP-20260706-235550.csv,564,2809,0.20078319686721252
../results/qwen2.5vl-32b-TUEP-20260707-133355.csv,564,2809,0.20078319686721252
../results/gemma3-12b-TUEP-20260705-214439.csv,2113,2809,0.7522249911000356
../results/bakllava-7b-TUEP-20260705-200316.csv,2245,2809,0.7992168031327874
../results/llava-13b-TUEP-20260706-184854.csv,564,2809,0.20078319686721252
../results/llava-7b-TUEP-20260706-171755.csv,564,2809,0.20078319686721252
../results/llava-llama3-8b-TUEP-20260706-223216.csv,2244,2809,0.7988608045567818
../results/mistral-small3.2-24b-TUEP-20260707-064527.csv,583,2809,0.20754716981132076
../results/gemma4-e2b-TUEP-20260706-014513.csv,625,2809,0.22249911000355999
../results/qwen3-vl-2b-instruct-TUEP-20260707-083101.csv,564,2809,0.20078319686721252
../results/gemma4-e4b-TUEP-20260706-051518.csv,618,2809,0.22000711997152012
../results/moondream-1.8b-TUEP-20260707-035701.csv,2244,2809,0.7988608045567818
../results/moondream-v2-TUEP-20260707-041222.csv,2244,2809,0.7988608045567818
../results/medgemma-27b-TUEP-20260707-014451.csv,564,2809,0.20078319686721252
../results/llava-phi3-3.8b-TUEP-20260706-222124.csv,2209,2809,0.7864008543965824
../results/ministral-3-3b-TUEP-20260707-021643.csv,564,2809,0.20078319686721252
../results/llava-34b-TUEP-20260706-214624.csv,2242,2809,0.7981488074047703
../results/qwen3-vl-8b-instruct-TUEP-20260707-140450.csv,582,2809,0.20719117123531505
../results/ministral-3-8b-TUEP-20260707-033741.csv,582,2809,0.20719117123531505
../results/qwen2.5vl-7b-TUEP-20260707-072002.csv,1715,2809,0.6105375578497686
../results/devstral-small-2-24b-TUEP-20260705-213422.csv,653,2809,0.23246707013171947
../results/qwen3-vl-30b-a3b-thinking-TUEP-20260708-000039.csv,664,2809,0.23638305446778213
