path,prediction,actual,correct,text_rationale,api_json
/scratch/luka/TUEG-VLM-prediction/TUEV/data/eval__001__bckg_001_a_.png,{'BCKG'},"{'BCKG', 'ARTF'}",False,"The EEG spectrograms show a consistent pattern of low-frequency waves across all channels, which is characteristic of background activity (BCKG). There are no distinct patterns or events that would suggest the presence of ARTF (Artifact), EYEM (Eye Movement), GPED (Generalized Periodic Discharges), PLED (Prolonged Epileptiform Discharges), or SPSW (Sleep Spindles with Waves). The waves appear to be stable and continuous, which is typical for background activity in EEG recordings.","{""content"": ""{ \""has_artf\"": false,\n  \""has_bckg\"": true,\n  \""has_eyem\"": false,\n  \""has_gped\"": false,\n  \""has_pled\"": false,\n  \""has_spsw\"": false,\n\n  \""text_rationale\"": \""The EEG spectrograms show a consistent pattern of low-frequency waves across all channels, which is characteristic of background activity (BCKG). There are no distinct patterns or events that would suggest the presence of ARTF (Artifact), EYEM (Eye Movement), GPED (Generalized Periodic Discharges), PLED (Prolonged Epileptiform Discharges), or SPSW (Sleep Spindles with Waves). The waves appear to be stable and continuous, which is typical for background activity in EEG recordings.\"" }"", ""additional_kwargs"": {}, ""response_metadata"": {""model"": ""qwen2.5vl:7b"", ""created_at"": ""2026-07-01T00:34:43.409059352Z"", ""done"": true, ""done_reason"": ""stop"", ""total_duration"": 185181325621, ""load_duration"": 95045374750, ""prompt_eval_count"": 4000, ""prompt_eval_duration"": 80768000000, ""eval_count"": 170, ""eval_duration"": 9225150000, ""logprobs"": null, ""model_name"": ""qwen2.5vl:7b"", ""model_provider"": ""ollama""}, ""type"": ""ai"", ""name"": null, ""id"": ""lc_run--019f1b16-a8e7-7173-bddb-df1356224e59-0"", ""tool_calls"": [], ""invalid_tool_calls"": [], ""usage_metadata"": {""input_tokens"": 4000, ""output_tokens"": 170, ""total_tokens"": 4170}}"
/scratch/luka/TUEG-VLM-prediction/TUEV/data/eval__001__pled_001_a_2.png,"{'PLED', 'BCKG'}",set(),False,"The EEG spectrograms show a continuous pattern of electrical activity across multiple channels, which is characteristic of background (BCKG) activity. There are no distinct patterns or events that resemble ARTF (Artifact), EYEM (Eye Movement), GPED (Generalized Periodic Discharges), PLED (Periodic Lateralized Epileptiform Discharges), or SPSW (Sleep Spindles with Waves). The presence of continuous, rhythmic activity without any sharp or distinct waveforms suggests background activity.","{""content"": ""{ \""has_artf\"": false,\n  \""has_bckg\"": true,\n  \""has_eyem\"": false,\n  \""has_gped\"": false,\n  \""has_pled\"": true,\n  \""has_spsw\"": false,\n\n  \""text_rationale\"": \""The EEG spectrograms show a continuous pattern of electrical activity across multiple channels, which is characteristic of background (BCKG) activity. There are no distinct patterns or events that resemble ARTF (Artifact), EYEM (Eye Movement), GPED (Generalized Periodic Discharges), PLED (Periodic Lateralized Epileptiform Discharges), or SPSW (Sleep Spindles with Waves). The presence of continuous, rhythmic activity without any sharp or distinct waveforms suggests background activity.\"" }"", ""additional_kwargs"": {}, ""response_metadata"": {""model"": ""qwen2.5vl:7b"", ""created_at"": ""2026-07-01T00:34:47.605887208Z"", ""done"": true, ""done_reason"": ""stop"", ""total_duration"": 189720172107, ""load_duration"": 95389702944, ""prompt_eval_count"": 4000, ""prompt_eval_duration"": 2575754000, ""eval_count"": 167, ""eval_duration"": 1310718000, ""logprobs"": null, ""model_name"": ""qwen2.5vl:7b"", ""model_provider"": ""ollama""}, ""type"": ""ai"", ""name"": null, ""id"": ""lc_run--019f1b16-a8e7-7173-bddb-df2678d01cc5-0"", ""tool_calls"": [], ""invalid_tool_calls"": [], ""usage_metadata"": {""input_tokens"": 4000, ""output_tokens"": 167, ""total_tokens"": 4167}}"
/scratch/luka/TUEG-VLM-prediction/TUEV/data/eval__010__bckg_010_a_.png,{'BCKG'},"{'EYEM', 'BCKG', 'ARTF'}",False,"The EEG spectrograms show a continuous background activity without any distinct events such as ARTF (Artifact), EYEM (Eye Movement), GPED (Generalized Periodic Discharges), PLED (Prolonged Epileptiform Discharges), or SPSW (Sleep Spindles with Waves). The waves are consistent and do not show the characteristic patterns of these events. Therefore, only 'BCKG' (Background) is present in this EEG recording.","{""content"": ""{ \""has_artf\"": false,\n  \""has_bckg\"": true,\n  \""has_eyem\"": false,\n  \""has_gped\"": false,\n  \""has_pled\"": false,\n  \""has_spsw\"": false,\n\n  \""text_rationale\"": \""The EEG spectrograms show a continuous background activity without any distinct events such as ARTF (Artifact), EYEM (Eye Movement), GPED (Generalized Periodic Discharges), PLED (Prolonged Epileptiform Discharges), or SPSW (Sleep Spindles with Waves). The waves are consistent and do not show the characteristic patterns of these events. Therefore, only 'BCKG' (Background) is present in this EEG recording.\"" }"", ""additional_kwargs"": {}, ""response_metadata"": {""model"": ""qwen2.5vl:7b"", ""created_at"": ""2026-07-01T00:34:51.817072305Z"", ""done"": true, ""done_reason"": ""stop"", ""total_duration"": 192947747216, ""load_duration"": 94409186706, ""prompt_eval_count"": 4000, ""prompt_eval_duration"": 2588462000, ""eval_count"": 159, ""eval_duration"": 1299472000, ""logprobs"": null, ""model_name"": ""qwen2.5vl:7b"", ""model_provider"": ""ollama""}, ""type"": ""ai"", ""name"": null, ""id"": ""lc_run--019f1b16-a8ee-7653-959d-9e155e0d851e-0"", ""tool_calls"": [], ""invalid_tool_calls"": [], ""usage_metadata"": {""input_tokens"": 4000, ""output_tokens"": 159, ""total_tokens"": 4159}}"
/scratch/luka/TUEG-VLM-prediction/TUEV/data/eval__009__bckg_009_a_.png,{'BCKG'},{'BCKG'},True,"The EEG spectrograms show a consistent baseline activity without any sharp or distinct peaks that would indicate the presence of specific event categories such as ARTF (Artifact), EYEM (Eye Movement), GPED (Generalized Periodic Discharges), PLED (Prolonged Epileptiform Discharges), or SPSW (Sleep Spindles with Wake). The graph primarily displays a smooth baseline, which is characteristic of background activity (BCKG) in EEG recordings.","{""content"": ""{ \""has_artf\"": false,\n  \""has_bckg\"": true,\n  \""has_eyem\"": false,\n  \""has_gped\"": false,\n  \""has_pled\"": false,\n  \""has_spsw\"": false,\n\n  \""text_rationale\"": \""The EEG spectrograms show a consistent baseline activity without any sharp or distinct peaks that would indicate the presence of specific event categories such as ARTF (Artifact), EYEM (Eye Movement), GPED (Generalized Periodic Discharges), PLED (Prolonged Epileptiform Discharges), or SPSW (Sleep Spindles with Wake). The graph primarily displays a smooth baseline, which is characteristic of background activity (BCKG) in EEG recordings.\"" }"", ""additional_kwargs"": {}, ""response_metadata"": {""model"": ""qwen2.5vl:7b"", ""created_at"": ""2026-07-01T00:34:55.981927769Z"", ""done"": true, ""done_reason"": ""stop"", ""total_duration"": 197256386477, ""load_duration"": 94571066747, ""prompt_eval_count"": 4000, ""prompt_eval_duration"": 2628200000, ""eval_count"": 159, ""eval_duration"": 1252048000, ""logprobs"": null, ""model_name"": ""qwen2.5vl:7b"", ""model_provider"": ""ollama""}, ""type"": ""ai"", ""name"": null, ""id"": ""lc_run--019f1b16-a8ee-7653-959d-9e36c7c24bc6-0"", ""tool_calls"": [], ""invalid_tool_calls"": [], ""usage_metadata"": {""input_tokens"": 4000, ""output_tokens"": 159, ""total_tokens"": 4159}}"
/scratch/luka/TUEG-VLM-prediction/TUEV/data/eval__007__bckg_007_a_.png,{'BCKG'},set(),False,"The EEG spectrograms show a continuous background activity without any distinct events such as ARTF (Artifact), EYEM (Eye Movement), GPED (Generalized Periodic Discharges), PLED (Partial Periodic Lateralized Epileptiform Discharges), or SPSW (Sleep Spindles with Waves). The graph primarily displays a baseline EEG pattern, which is characteristic of background activity.","{""content"": ""{ \""has_artf\"": false,\n  \""has_bckg\"": true,\n  \""has_eyem\"": false,\n  \""has_gped\"": false,\n  \""has_pled\"": false,\n  \""has_spsw\"": false,\n\n  \""text_rationale\"": \""The EEG spectrograms show a continuous background activity without any distinct events such as ARTF (Artifact), EYEM (Eye Movement), GPED (Generalized Periodic Discharges), PLED (Partial Periodic Lateralized Epileptiform Discharges), or SPSW (Sleep Spindles with Waves). The graph primarily displays a baseline EEG pattern, which is characteristic of background activity.\"" }"", ""additional_kwargs"": {}, ""response_metadata"": {""model"": ""qwen2.5vl:7b"", ""created_at"": ""2026-07-01T00:34:59.973611153Z"", ""done"": true, ""done_reason"": ""stop"", ""total_duration"": 201227949997, ""load_duration"": 94551627789, ""prompt_eval_count"": 4000, ""prompt_eval_duration"": 2566202000, ""eval_count"": 144, ""eval_duration"": 1133772000, ""logprobs"": null, ""model_name"": ""qwen2.5vl:7b"", ""model_provider"": ""ollama""}, ""type"": ""ai"", ""name"": null, ""id"": ""lc_run--019f1b16-a8ef-7943-825e-7dcd52e51bd6-0"", ""tool_calls"": [], ""invalid_tool_calls"": [], ""usage_metadata"": {""input_tokens"": 4000, ""output_tokens"": 144, ""total_tokens"": 4144}}"
/scratch/luka/TUEG-VLM-prediction/TUEV/data/eval__006__pled_006_a_2.png,"{'PLED', 'BCKG'}",{'PLED'},False,"The EEG spectrograms show a clear pattern of rhythmic activity that is characteristic of background (BCKG) activity. There are no distinct events such as ARTF, EYEM, GPED, or SPSW visible in the traces. The PLED event category appears to be present based on the consistent and repetitive pattern across multiple channels.","{""content"": ""{ \""has_artf\"": false,\n  \""has_bckg\"": true,\n  \""has_eyem\"": false,\n  \""has_gped\"": false,\n  \""has_pled\"": true,\n  \""has_spsw\"": false,\n\n  \""text_rationale\"": \""The EEG spectrograms show a clear pattern of rhythmic activity that is characteristic of background (BCKG) activity. There are no distinct events such as ARTF, EYEM, GPED, or SPSW visible in the traces. The PLED event category appears to be present based on the consistent and repetitive pattern across multiple channels.\"" }"", ""additional_kwargs"": {}, ""response_metadata"": {""model"": ""qwen2.5vl:7b"", ""created_at"": ""2026-07-01T00:35:03.882797529Z"", ""done"": true, ""done_reason"": ""stop"", ""total_duration"": 205114075085, ""load_duration"": 94529240943, ""prompt_eval_count"": 4000, ""prompt_eval_duration"": 2578075000, ""eval_count"": 132, ""eval_duration"": 1044955999, ""logprobs"": null, ""model_name"": ""qwen2.5vl:7b"", ""model_provider"": ""ollama""}, ""type"": ""ai"", ""name"": null, ""id"": ""lc_run--019f1b16-a8ed-7d41-b07f-bc1253bb924b-0"", ""tool_calls"": [], ""invalid_tool_calls"": [], ""usage_metadata"": {""input_tokens"": 4000, ""output_tokens"": 132, ""total_tokens"": 4132}}"
/scratch/luka/TUEG-VLM-prediction/TUEV/data/eval__008__pled_008_a_1.png,"{'PLED', 'BCKG'}",{'GPED'},False,"The EEG spectrograms show a pattern consistent with background activity (BCKG), which is characterized by relatively stable and rhythmic brainwave patterns. There are no distinct features that would suggest the presence of ARTF (Artifact), EYEM (Eye Movement), GPED (Generalized Periodic Discharges), PLED (Periodic Lateralized Epileptiform Discharges), or SPSW (Sleep Spindles with Waves). The regularity and amplitude of the waves are typical of background activity, which is a normal state of brain function.","{""content"": ""{ \""has_artf\"": false,\n  \""has_bckg\"": true,\n  \""has_eyem\"": false,\n  \""has_gped\"": false,\n  \""has_pled\"": true,\n  \""has_spsw\"": false,\n\n  \""text_rationale\"": \""The EEG spectrograms show a pattern consistent with background activity (BCKG), which is characterized by relatively stable and rhythmic brainwave patterns. There are no distinct features that would suggest the presence of ARTF (Artifact), EYEM (Eye Movement), GPED (Generalized Periodic Discharges), PLED (Periodic Lateralized Epileptiform Discharges), or SPSW (Sleep Spindles with Waves). The regularity and amplitude of the waves are typical of background activity, which is a normal state of brain function.\"" }"", ""additional_kwargs"": {}, ""response_metadata"": {""model"": ""qwen2.5vl:7b"", ""created_at"": ""2026-07-01T00:35:08.155954988Z"", ""done"": true, ""done_reason"": ""stop"", ""total_duration"": 209366410469, ""load_duration"": 94509081678, ""prompt_eval_count"": 4000, ""prompt_eval_duration"": 2593053000, ""eval_count"": 175, ""eval_duration"": 1393037000, ""logprobs"": null, ""model_name"": ""qwen2.5vl:7b"", ""model_provider"": ""ollama""}, ""type"": ""ai"", ""name"": null, ""id"": ""lc_run--019f1b16-a8ec-7973-b250-29abaa9f7ba7-0"", ""tool_calls"": [], ""invalid_tool_calls"": [], ""usage_metadata"": {""input_tokens"": 4000, ""output_tokens"": 175, ""total_tokens"": 4175}}"
/scratch/luka/TUEG-VLM-prediction/TUEV/data/eval__003__bckg_003_a_.png,{'BCKG'},"{'BCKG', 'ARTF'}",False,"The EEG spectrograms show a consistent background activity without any distinct events such as ARTF (Artifact), EYEM (Eye Movement), GPED (Generalized Periodic Discharges), PLED (Prolonged Epileptiform Discharges), or SPSW (Sleep Spindles with Waves). The lines are relatively smooth and show a baseline activity, which is characteristic of background EEG. Therefore, the category 'BCKG' is selected.","{""content"": ""{ \""has_artf\"": false,\n  \""has_bckg\"": true,\n  \""has_eyem\"": false,\n  \""has_gped\"": false,\n  \""has_pled\"": false,\n  \""has_spsw\"": false,\n\n  \""text_rationale\"": \""The EEG spectrograms show a consistent background activity without any distinct events such as ARTF (Artifact), EYEM (Eye Movement), GPED (Generalized Periodic Discharges), PLED (Prolonged Epileptiform Discharges), or SPSW (Sleep Spindles with Waves). The lines are relatively smooth and show a baseline activity, which is characteristic of background EEG. Therefore, the category 'BCKG' is selected.\"" }"", ""additional_kwargs"": {}, ""response_metadata"": {""model"": ""qwen2.5vl:7b"", ""created_at"": ""2026-07-01T00:35:12.334788875Z"", ""done"": true, ""done_reason"": ""stop"", ""total_duration"": 213517461489, ""load_duration"": 94481962814, ""prompt_eval_count"": 4000, ""prompt_eval_duration"": 2613046000, ""eval_count"": 156, ""eval_duration"": 1259899000, ""logprobs"": null, ""model_name"": ""qwen2.5vl:7b"", ""model_provider"": ""ollama""}, ""type"": ""ai"", ""name"": null, ""id"": ""lc_run--019f1b16-a8ef-7943-825e-7dbe9b646559-0"", ""tool_calls"": [], ""invalid_tool_calls"": [], ""usage_metadata"": {""input_tokens"": 4000, ""output_tokens"": 156, ""total_tokens"": 4156}}"
/scratch/luka/TUEG-VLM-prediction/TUEV/data/eval__008__bckg_008_a_.png,{'BCKG'},{'BCKG'},True,"The EEG spectrograms show a consistent baseline activity without any sharp or distinct waveforms that would indicate the presence of ARTF (Artifact), EYEM (Eye Movement), GPED (Generalized Periodic Discharges), PLED (Prolonged Epileptiform Discharges), or SPSW (Sleep Spindles with Wake). The waves are smooth and regular, which is characteristic of background activity (BCKG) in EEG recordings.","{""content"": ""{ \""has_artf\"": false,\n  \""has_bckg\"": true,\n  \""has_eyem\"": false,\n  \""has_gped\"": false,\n  \""has_pled\"": false,\n  \""has_spsw\"": false,\n\n  \""text_rationale\"": \""The EEG spectrograms show a consistent baseline activity without any sharp or distinct waveforms that would indicate the presence of ARTF (Artifact), EYEM (Eye Movement), GPED (Generalized Periodic Discharges), PLED (Prolonged Epileptiform Discharges), or SPSW (Sleep Spindles with Wake). The waves are smooth and regular, which is characteristic of background activity (BCKG) in EEG recordings.\"" }"", ""additional_kwargs"": {}, ""response_metadata"": {""model"": ""qwen2.5vl:7b"", ""created_at"": ""2026-07-01T00:35:16.546162766Z"", ""done"": true, ""done_reason"": ""stop"", ""total_duration"": 217712069046, ""load_duration"": 94465855113, ""prompt_eval_count"": 4000, ""prompt_eval_duration"": 2600751000, ""eval_count"": 154, ""eval_duration"": 1277269000, ""logprobs"": null, ""model_name"": ""qwen2.5vl:7b"", ""model_provider"": ""ollama""}, ""type"": ""ai"", ""name"": null, ""id"": ""lc_run--019f1b16-a8ee-7653-959d-9e2c8c2297ee-0"", ""tool_calls"": [], ""invalid_tool_calls"": [], ""usage_metadata"": {""input_tokens"": 4000, ""output_tokens"": 154, ""total_tokens"": 4154}}"
/scratch/luka/TUEG-VLM-prediction/TUEV/data/eval__002__bckg_002_a_.png,{'BCKG'},set(),False,"The EEG spectrograms show a continuous background activity without any distinct events such as ARTF (Artifact), EYEM (Eye Movement), GPED (Generalized Periodic Discharges), PLED (Prolonged Epileptiform Discharges), or SPSW (Sleep Spindles with Waves). The graph primarily displays baseline EEG activity, which is labeled as 'BCKG' in the legend.","{""content"": ""{ \""has_artf\"": false,\n  \""has_bckg\"": true,\n  \""has_eyem\"": false,\n  \""has_gped\"": false,\n  \""has_pled\"": false,\n  \""has_spsw\"": false,\n\n  \""text_rationale\"": \""The EEG spectrograms show a continuous background activity without any distinct events such as ARTF (Artifact), EYEM (Eye Movement), GPED (Generalized Periodic Discharges), PLED (Prolonged Epileptiform Discharges), or SPSW (Sleep Spindles with Waves). The graph primarily displays baseline EEG activity, which is labeled as 'BCKG' in the legend.\"" }"", ""additional_kwargs"": {}, ""response_metadata"": {""model"": ""qwen2.5vl:7b"", ""created_at"": ""2026-07-01T00:35:20.63046461Z"", ""done"": true, ""done_reason"": ""stop"", ""total_duration"": 221774764625, ""load_duration"": 94444907851, ""prompt_eval_count"": 4000, ""prompt_eval_duration"": 2594406000, ""eval_count"": 147, ""eval_duration"": 1190693000, ""logprobs"": null, ""model_name"": ""qwen2.5vl:7b"", ""model_provider"": ""ollama""}, ""type"": ""ai"", ""name"": null, ""id"": ""lc_run--019f1b16-a8f0-7bd3-8d2e-8ae96bb475cb-0"", ""tool_calls"": [], ""invalid_tool_calls"": [], ""usage_metadata"": {""input_tokens"": 4000, ""output_tokens"": 147, ""total_tokens"": 4147}}"
