path,prediction,actual,correct,text_rationale,api_json
/Users/luka/dev/TUEG-VLM-prediction/TUEV/data/eval__002__spsw_002_a_1.png,"{'SPSW', 'BCKG'}",set(),False,"The EEG spectrograms show a pattern consistent with sleep spindles, which are typically associated with the SPSW (Sleep Spindle) event category. Sleep spindles are","{""content"": ""{ \""has_artf\"": false,\n  \""has_bckg\"": true,\n  \""has_eyem\"": false,\n  \""has_gped\"": false,\n  \""has_pled\"": false,\n  \""has_spsw\"": true,\n\n  \""text_rationale\"": \""The EEG spectrograms show a pattern consistent with sleep spindles, which are typically associated with the SPSW (Sleep Spindle) event category. Sleep spindles are"", ""additional_kwargs"": {}, ""response_metadata"": {""model"": ""qwen2.5vl:7b"", ""created_at"": ""2026-06-30T15:57:05.345447Z"", ""done"": true, ""done_reason"": ""length"", ""total_duration"": 15214769084, ""load_duration"": 3521243209, ""prompt_eval_count"": 4000, ""prompt_eval_duration"": 9850182000, ""eval_count"": 96, ""eval_duration"": 1797210000, ""logprobs"": null, ""model_name"": ""qwen2.5vl:7b"", ""model_provider"": ""ollama""}, ""type"": ""ai"", ""name"": null, ""id"": ""lc_run--019f193f-5a31-78b3-8f25-9296a507cb01-0"", ""tool_calls"": [], ""invalid_tool_calls"": [], ""usage_metadata"": {""input_tokens"": 4000, ""output_tokens"": 96, ""total_tokens"": 4096}}"
/Users/luka/dev/TUEG-VLM-prediction/TUEV/data/eval__004__bckg_004_a_.png,{'BCKG'},"{'EYEM', 'BCKG'}",False,"The EEG spectrograms show a continuous background activity without any distinct events such as ARTF (Artifact), EYEM (Eye Movement), GPED (Generalized Periodic Discharges","{""content"": ""{ \""has_artf\"": false,\n  \""has_bckg\"": true,\n  \""has_eyem\"": false,\n  \""has_gped\"": false,\n  \""has_pled\"": false,\n  \""has_spsw\"": false,\n\n  \""text_rationale\"": \""The EEG spectrograms show a continuous background activity without any distinct events such as ARTF (Artifact), EYEM (Eye Movement), GPED (Generalized Periodic Discharges"", ""additional_kwargs"": {}, ""response_metadata"": {""model"": ""qwen2.5vl:7b"", ""created_at"": ""2026-06-30T15:57:16.880977Z"", ""done"": true, ""done_reason"": ""length"", ""total_duration"": 26737615208, ""load_duration"": 3505879708, ""prompt_eval_count"": 4000, ""prompt_eval_duration"": 9663956000, ""eval_count"": 96, ""eval_duration"": 1797922000, ""logprobs"": null, ""model_name"": ""qwen2.5vl:7b"", ""model_provider"": ""ollama""}, ""type"": ""ai"", ""name"": null, ""id"": ""lc_run--019f193f-5a57-7dc0-a199-9fc86e546c78-0"", ""tool_calls"": [], ""invalid_tool_calls"": [], ""usage_metadata"": {""input_tokens"": 4000, ""output_tokens"": 96, ""total_tokens"": 4096}}"
/Users/luka/dev/TUEG-VLM-prediction/TUEV/data/eval__001__bckg_001_a_.png,{'BCKG'},"{'BCKG', 'ARTF'}",False,"The EEG spectrograms show a consistent pattern of low-frequency waves across all channels, which is characteristic of background activity (BCKG). There are no distinct patterns or events that would","{""content"": ""{ \""has_artf\"": false,\n  \""has_bckg\"": true,\n  \""has_eyem\"": false,\n  \""has_gped\"": false,\n  \""has_pled\"": false,\n  \""has_spsw\"": false,\n\n  \""text_rationale\"": \""The EEG spectrograms show a consistent pattern of low-frequency waves across all channels, which is characteristic of background activity (BCKG). There are no distinct patterns or events that would"", ""additional_kwargs"": {}, ""response_metadata"": {""model"": ""qwen2.5vl:7b"", ""created_at"": ""2026-06-30T15:57:28.389921Z"", ""done"": true, ""done_reason"": ""length"", ""total_duration"": 38249405625, ""load_duration"": 3510741417, ""prompt_eval_count"": 4000, ""prompt_eval_duration"": 9651122000, ""eval_count"": 96, ""eval_duration"": 1797761000, ""logprobs"": null, ""model_name"": ""qwen2.5vl:7b"", ""model_provider"": ""ollama""}, ""type"": ""ai"", ""name"": null, ""id"": ""lc_run--019f193f-5a4c-78a3-a97a-45bed8bb31da-0"", ""tool_calls"": [], ""invalid_tool_calls"": [], ""usage_metadata"": {""input_tokens"": 4000, ""output_tokens"": 96, ""total_tokens"": 4096}}"
/Users/luka/dev/TUEG-VLM-prediction/TUEV/data/eval__001__pled_001_a_3.png,"{'BCKG', 'PLED'}",{'GPED'},False,"The EEG spectrograms show a continuous recording with no distinct events or patterns that match the specific criteria for ARTF (Artifact), BCKG (Background), EYEM (Eye","{""content"": ""{ \""has_artf\"": false,\n  \""has_bckg\"": true,\n  \""has_eyem\"": false,\n  \""has_gped\"": false,\n  \""has_pled\"": true,\n  \""has_spsw\"": false,\n\n  \""text_rationale\"": \""The EEG spectrograms show a continuous recording with no distinct events or patterns that match the specific criteria for ARTF (Artifact), BCKG (Background), EYEM (Eye"", ""additional_kwargs"": {}, ""response_metadata"": {""model"": ""qwen2.5vl:7b"", ""created_at"": ""2026-06-30T15:57:39.983108Z"", ""done"": true, ""done_reason"": ""length"", ""total_duration"": 49852479791, ""load_duration"": 3520139291, ""prompt_eval_count"": 4000, ""prompt_eval_duration"": 9727447000, ""eval_count"": 96, ""eval_duration"": 1803829000, ""logprobs"": null, ""model_name"": ""qwen2.5vl:7b"", ""model_provider"": ""ollama""}, ""type"": ""ai"", ""name"": null, ""id"": ""lc_run--019f193f-5a2e-78d1-9b5a-c7c20d3d8220-0"", ""tool_calls"": [], ""invalid_tool_calls"": [], ""usage_metadata"": {""input_tokens"": 4000, ""output_tokens"": 96, ""total_tokens"": 4096}}"
/Users/luka/dev/TUEG-VLM-prediction/TUEV/data/eval__002__bckg_002_a_.png,{'BCKG'},set(),False,"The EEG spectrograms show a continuous background activity without any distinct events such as ARTF (Artifact), EYEM (Eye Movement), GPED (Generalized Periodic Discharges","{""content"": ""{ \""has_artf\"": false,\n  \""has_bckg\"": true,\n  \""has_eyem\"": false,\n  \""has_gped\"": false,\n  \""has_pled\"": false,\n  \""has_spsw\"": false,\n\n  \""text_rationale\"": \""The EEG spectrograms show a continuous background activity without any distinct events such as ARTF (Artifact), EYEM (Eye Movement), GPED (Generalized Periodic Discharges"", ""additional_kwargs"": {}, ""response_metadata"": {""model"": ""qwen2.5vl:7b"", ""created_at"": ""2026-06-30T15:57:51.543427Z"", ""done"": true, ""done_reason"": ""length"", ""total_duration"": 61403184375, ""load_duration"": 3510117083, ""prompt_eval_count"": 4000, ""prompt_eval_duration"": 9702242000, ""eval_count"": 96, ""eval_duration"": 1801343000, ""logprobs"": null, ""model_name"": ""qwen2.5vl:7b"", ""model_provider"": ""ollama""}, ""type"": ""ai"", ""name"": null, ""id"": ""lc_run--019f193f-5a2e-78d1-9b5a-c7dcfa2b752d-0"", ""tool_calls"": [], ""invalid_tool_calls"": [], ""usage_metadata"": {""input_tokens"": 4000, ""output_tokens"": 96, ""total_tokens"": 4096}}"
/Users/luka/dev/TUEG-VLM-prediction/TUEV/data/eval__000__bckg_000_a_.png,{'BCKG'},set(),False,"The EEG spectrograms show a consistent baseline activity across all channels, which is characteristic of background (BCKG) activity. There are no sharp transients or distinct patterns that would","{""content"": ""{ \""has_artf\"": false,\n  \""has_bckg\"": true,\n  \""has_eyem\"": false,\n  \""has_gped\"": false,\n  \""has_pled\"": false,\n  \""has_spsw\"": false,\n\n  \""text_rationale\"": \""The EEG spectrograms show a consistent baseline activity across all channels, which is characteristic of background (BCKG) activity. There are no sharp transients or distinct patterns that would"", ""additional_kwargs"": {}, ""response_metadata"": {""model"": ""qwen2.5vl:7b"", ""created_at"": ""2026-06-30T15:58:03.080031Z"", ""done"": true, ""done_reason"": ""length"", ""total_duration"": 72955519500, ""load_duration"": 3526974667, ""prompt_eval_count"": 4000, ""prompt_eval_duration"": 9690197000, ""eval_count"": 96, ""eval_duration"": 1798810000, ""logprobs"": null, ""model_name"": ""qwen2.5vl:7b"", ""model_provider"": ""ollama""}, ""type"": ""ai"", ""name"": null, ""id"": ""lc_run--019f193f-5a2d-7000-8d62-fee22ff61e5d-0"", ""tool_calls"": [], ""invalid_tool_calls"": [], ""usage_metadata"": {""input_tokens"": 4000, ""output_tokens"": 96, ""total_tokens"": 4096}}"
/Users/luka/dev/TUEG-VLM-prediction/TUEV/data/eval__001__pled_001_a_2.png,"{'BCKG', 'PLED'}",set(),False,"The EEG spectrograms show a continuous pattern of electrical activity across multiple channels, which is characteristic of background (BCKG) activity. There are no distinct patterns or events that resemble","{""content"": ""{ \""has_artf\"": false,\n  \""has_bckg\"": true,\n  \""has_eyem\"": false,\n  \""has_gped\"": false,\n  \""has_pled\"": true,\n  \""has_spsw\"": false,\n\n  \""text_rationale\"": \""The EEG spectrograms show a continuous pattern of electrical activity across multiple channels, which is characteristic of background (BCKG) activity. There are no distinct patterns or events that resemble"", ""additional_kwargs"": {}, ""response_metadata"": {""model"": ""qwen2.5vl:7b"", ""created_at"": ""2026-06-30T15:58:14.67603Z"", ""done"": true, ""done_reason"": ""length"", ""total_duration"": 84540867750, ""load_duration"": 3517061000, ""prompt_eval_count"": 4000, ""prompt_eval_duration"": 9736974000, ""eval_count"": 96, ""eval_duration"": 1802167000, ""logprobs"": null, ""model_name"": ""qwen2.5vl:7b"", ""model_provider"": ""ollama""}, ""type"": ""ai"", ""name"": null, ""id"": ""lc_run--019f193f-5a2d-7000-8d62-ff377d5dd1e7-0"", ""tool_calls"": [], ""invalid_tool_calls"": [], ""usage_metadata"": {""input_tokens"": 4000, ""output_tokens"": 96, ""total_tokens"": 4096}}"
/Users/luka/dev/TUEG-VLM-prediction/TUEV/data/eval__003__bckg_003_a_.png,{'BCKG'},"{'BCKG', 'ARTF'}",False,"The EEG spectrograms show a continuous background activity without any distinct events such as ARTF (Artifact), EYEM (Eye Movement), GPED (Generalized Periodic Discharges","{""content"": ""{ \""has_artf\"": false,\n  \""has_bckg\"": true,\n  \""has_eyem\"": false,\n  \""has_gped\"": false,\n  \""has_pled\"": false,\n  \""has_spsw\"": false,\n\n  \""text_rationale\"": \""The EEG spectrograms show a continuous background activity without any distinct events such as ARTF (Artifact), EYEM (Eye Movement), GPED (Generalized Periodic Discharges"", ""additional_kwargs"": {}, ""response_metadata"": {""model"": ""qwen2.5vl:7b"", ""created_at"": ""2026-06-30T15:58:26.225117Z"", ""done"": true, ""done_reason"": ""length"", ""total_duration"": 96074516083, ""load_duration"": 3498399750, ""prompt_eval_count"": 4000, ""prompt_eval_duration"": 9690379000, ""eval_count"": 96, ""eval_duration"": 1800734000, ""logprobs"": null, ""model_name"": ""qwen2.5vl:7b"", ""model_provider"": ""ollama""}, ""type"": ""ai"", ""name"": null, ""id"": ""lc_run--019f193f-5a52-77c0-9554-091002037df8-0"", ""tool_calls"": [], ""invalid_tool_calls"": [], ""usage_metadata"": {""input_tokens"": 4000, ""output_tokens"": 96, ""total_tokens"": 4096}}"
/Users/luka/dev/TUEG-VLM-prediction/TUEV/data/eval__001__spsw_001_a_1.png,"{'SPSW', 'BCKG'}",set(),False,"The EEG spectrograms show a pattern consistent with sleep spindles, which are typically associated with the SPSW (Sleep Spindle) event category. Sleep spindles are","{""content"": ""{ \""has_artf\"": false,\n  \""has_bckg\"": true,\n  \""has_eyem\"": false,\n  \""has_gped\"": false,\n  \""has_pled\"": false,\n  \""has_spsw\"": true,\n\n  \""text_rationale\"": \""The EEG spectrograms show a pattern consistent with sleep spindles, which are typically associated with the SPSW (Sleep Spindle) event category. Sleep spindles are"", ""additional_kwargs"": {}, ""response_metadata"": {""model"": ""qwen2.5vl:7b"", ""created_at"": ""2026-06-30T15:58:37.863761Z"", ""done"": true, ""done_reason"": ""length"", ""total_duration"": 107720996125, ""load_duration"": 3507127041, ""prompt_eval_count"": 4000, ""prompt_eval_duration"": 9769587000, ""eval_count"": 96, ""eval_duration"": 1807880000, ""logprobs"": null, ""model_name"": ""qwen2.5vl:7b"", ""model_provider"": ""ollama""}, ""type"": ""ai"", ""name"": null, ""id"": ""lc_run--019f193f-5a2e-78d1-9b5a-c7a7fc9dabfa-0"", ""tool_calls"": [], ""invalid_tool_calls"": [], ""usage_metadata"": {""input_tokens"": 4000, ""output_tokens"": 96, ""total_tokens"": 4096}}"
/Users/luka/dev/TUEG-VLM-prediction/TUEV/data/eval__001__pled_001_a_.png,"{'BCKG', 'PLED'}",{'GPED'},False,"The EEG spectrograms show a continuous pattern of waves without any distinct sharp or slow wave patterns that would indicate the presence of ARTF (Artifact), EYEM (Eye Movement),","{""content"": ""{ \""has_artf\"": false,\n  \""has_bckg\"": true,\n  \""has_eyem\"": false,\n  \""has_gped\"": false,\n  \""has_pled\"": true,\n  \""has_spsw\"": false,\n\n  \""text_rationale\"": \""The EEG spectrograms show a continuous pattern of waves without any distinct sharp or slow wave patterns that would indicate the presence of ARTF (Artifact), EYEM (Eye Movement),"", ""additional_kwargs"": {}, ""response_metadata"": {""model"": ""qwen2.5vl:7b"", ""created_at"": ""2026-06-30T15:58:49.460784Z"", ""done"": true, ""done_reason"": ""length"", ""total_duration"": 119315617125, ""load_duration"": 3504220709, ""prompt_eval_count"": 4000, ""prompt_eval_duration"": 9727575000, ""eval_count"": 96, ""eval_duration"": 1804283000, ""logprobs"": null, ""model_name"": ""qwen2.5vl:7b"", ""model_provider"": ""ollama""}, ""type"": ""ai"", ""name"": null, ""id"": ""lc_run--019f193f-5a2e-78d1-9b5a-c7bbd7fc7a36-0"", ""tool_calls"": [], ""invalid_tool_calls"": [], ""usage_metadata"": {""input_tokens"": 4000, ""output_tokens"": 96, ""total_tokens"": 4096}}"
