2026-07-05T20:03:16.711346,64710105,0,bakllava:7b
2026-07-05T20:07:56.638175,64710105,1,deepseek-ocr:3b
2026-07-05T20:40:38.123940,64710105,5,gemma3:4b
2026-07-05T21:34:22.944971,64710105,2,devstral-small-2:24b
2026-07-05T21:44:39.947514,64710105,6,gemma3:12b
2026-07-05T22:45:57.783280,64710105,7,gemma3:27b
2026-07-06T01:45:14.160421,64710105,8,gemma4:e2b
2026-07-06T05:15:19.856827,64710105,9,gemma4:e4b
2026-07-06T06:21:07.852720,64710105,13,glm-ocr:latest
2026-07-06T07:53:46.584901,64710105,14,granite3.2-vision:2b
2026-07-06T17:17:55.907872,64710105,21,llava:7b
2026-07-06T18:48:55.505828,64710105,22,llava:13b
2026-07-06T21:25:11.141428,64710105,24,llava:v1.6
2026-07-06T21:46:26.344565,64710105,23,llava:34b
2026-07-06T22:21:24.491369,64710105,26,llava-phi3:3.8b
2026-07-06T22:32:16.797251,64710105,25,llava-llama3:8b
2026-07-06T23:18:31.152242,64710105,27,medgemma:4b
2026-07-06T23:55:50.706093,64710105,29,medgemma1.5:4b
2026-07-07T00:32:34.166919,64710105,30,minicpm-v:8b
2026-07-07T01:28:11.788976,64710105,31,minicpm-v4.5:8b
2026-07-07T01:44:52.112557,64710105,28,medgemma:27b
2026-07-07T02:05:59.802758,64710105,32,minicpm-v4.6:1b
2026-07-07T02:16:43.274036,64710105,33,ministral-3:3b
2026-07-07T03:05:47.450827,64710105,35,ministral-3:14b
2026-07-07T03:37:41.956724,64710105,34,ministral-3:8b
2026-07-07T03:57:01.112748,64710105,39,moondream:1.8b
2026-07-07T04:12:22.886162,64710105,40,moondream:v2
2026-07-07T05:56:23.993256,64710105,37,mistral-small3.1:24b
2026-07-07T06:45:29.017095,64710105,38,mistral-small3.2:24b
2026-07-07T07:20:03.123170,64710105,43,qwen2.5vl:7b
2026-07-07T08:31:05.865736,64710105,46,qwen3-vl:2b-instruct
2026-07-07T10:38:32.501568,64710105,48,qwen3-vl:4b-instruct
2026-07-07T13:33:56.918323,64710105,44,qwen2.5vl:32b
2026-07-07T14:04:55.114793,64710105,50,qwen3-vl:8b-instruct
2026-07-07T17:01:02.316656,64710105,52,qwen3-vl:30b-a3b-instruct
2026-07-07T23:05:52.155050,64710105,54,qwen3-vl:32b-instruct
2026-07-08T00:00:39.553301,64710105,53,qwen3-vl:30b-a3b-thinking
2026-07-08T11:33:41.845570,64710105,70,translategemma:4b
2026-07-08T12:35:39.133236,64710105,71,translategemma:12b
2026-07-08T13:28:21.527133,64710105,72,translategemma:27b
