2026-07-05T19:37:18.796619,64710105,3,gemma3:270m,ResponseError,"{""error"":{""code"":400,""message"":""Multimodal data provided, but model does not support multimodal requests."",""type"":""invalid_request_error""}} (status code: 400)"
2026-07-05T19:38:20.409308,64710105,4,gemma3:1b,ResponseError,"{""error"":{""code"":400,""message"":""Multimodal data provided, but model does not support multimodal requests."",""type"":""invalid_request_error""}} (status code: 400)"
2026-07-06T08:01:53.221195,64710105,15,llama3.2-vision:11b,ResponseError,"llama-server process has terminated: exit status 1: error loading model: unknown model architecture: 'mllama'
error loading model: unknown model architecture: 'mllama' (status code: 500)"
2026-07-06T08:12:53.283895,64710105,16,llama3.2-vision:90b,ResponseError,"llama-server process has terminated: exit status 1: error loading model: unknown model architecture: 'mllama'
error loading model: unknown model architecture: 'mllama' (status code: 500)"
2026-07-06T16:06:17.083621,64710105,18,llama4:maverick,ResponseError,timed out waiting for llama-server to start -  (status code: 500)
2026-07-07T04:42:50.441873,64710105,41,nemotron3:33b,AttributeError,'NoneType' object has no attribute 'has_epilepsy'
2026-07-07T04:45:30.827927,64710105,42,qwen2.5vl:3b,ValueError,No data received from Ollama stream.
2026-07-07T07:07:27.677739,64710105,45,qwen2.5vl:72b,ResponseError,"llama-server process no longer running: unknown cudaMalloc failed: out of memory
ggml_gallocr_reserve_n_impl: failed to allocate CUDA0 buffer of size 1887874304 (status code: 500)"
2026-07-07T09:22:50.312205,64710105,47,qwen3-vl:2b-thinking,AttributeError,'NoneType' object has no attribute 'has_epilepsy'
2026-07-07T09:55:02.598431,64710105,49,qwen3-vl:4b-thinking,AttributeError,'NoneType' object has no attribute 'has_epilepsy'
2026-07-07T13:09:39.910114,64710105,51,qwen3-vl:8b-thinking,AttributeError,'NoneType' object has no attribute 'has_epilepsy'
2026-07-07T23:27:46.748189,64710105,56,qwen3-vl:235b-a22b-instruct,ResponseError,timed out waiting for llama-server to start -  (status code: 500)
2026-07-07T23:45:54.240999,64710105,58,qwen3.5:0.8b,AttributeError,'NoneType' object has no attribute 'has_epilepsy'
2026-07-08T00:19:27.702846,64710105,59,qwen3.5:2b,AttributeError,'NoneType' object has no attribute 'has_epilepsy'
2026-07-08T01:00:18.322333,64710105,60,qwen3.5:4b,AttributeError,'NoneType' object has no attribute 'has_epilepsy'
2026-07-08T01:52:36.633578,64710105,61,qwen3.5:9b,AttributeError,'NoneType' object has no attribute 'has_epilepsy'
2026-07-08T06:55:47.980786,64710105,63,qwen3.5:35b,AttributeError,'NoneType' object has no attribute 'has_epilepsy'
2026-07-08T07:03:21.336761,64710105,64,qwen3.5:35b-a3b,AttributeError,'NoneType' object has no attribute 'has_epilepsy'
2026-07-08T07:33:36.465636,64710105,65,qwen3.5:122b,ResponseError,llama-server process has terminated: signal: killed (status code: 500)
2026-07-08T07:37:00.372775,64710105,66,qwen3.5:122b-a10b,ResponseError,llama-server process has terminated: signal: killed (status code: 500)
2026-07-08T08:59:03.093429,64710105,62,qwen3.5:27b,AttributeError,'NoneType' object has no attribute 'has_epilepsy'
2026-07-08T10:34:57.755638,64710105,68,qwen3.6:35b,AttributeError,'NoneType' object has no attribute 'has_epilepsy'
2026-07-08T12:03:52.359956,64710105,69,qwen3.6:35b-a3b,AttributeError,'NoneType' object has no attribute 'has_epilepsy'
